Date,Ticker,State,Action,Entry_Price,Exit_Price,Shares
12,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1351.076904296875,1350.11669921875,14
13,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1350.11669921875,1338.3526611328125,14
14,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1338.3526611328125,1373.3563232421875,14
15,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1373.3563232421875,1413.833984375,14
16,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1413.833984375,1472.749755859375,14
17,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1472.749755859375,1440.242919921875,13
56,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1682.3880615234375,1681.619873046875,11
57,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1681.619873046875,1720.5609130859375,11
94,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1831.0938720703125,1801.179931640625,10
107,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1890.0096435546875,1805.0211181640625,10
108,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1805.0211181640625,1779.2364501953125,11
109,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1779.2364501953125,1778.1319580078125,11
121,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1771.2801513671875,1751.2237548828125,11
128,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1759.3822021484375,1772.2999267578125,11
129,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1772.2999267578125,1781.3326416015625,11
130,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1781.3326416015625,1847.572265625,11
131,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1847.572265625,1835.383056640625,10
135,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1803.282958984375,1804.448486328125,11
151,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1866.9002685546875,1868.988525390625,10
153,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1854.1768798828125,1852.5743408203125,10
159,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1901.57421875,1883.023193359375,10
170,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1763.2672119140625,1761.17919921875,11
200,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1639.189208984375,1659.488525390625,12
208,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1545.123046875,1534.439208984375,12
220,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1482.6226806640625,1505.593017578125,13
221,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1505.593017578125,1453.4849853515625,13
222,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1453.4849853515625,1409.9241943359375,13
223,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1409.9241943359375,1356.602294921875,14
224,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1356.602294921875,1387.7310791015625,14
225,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1387.7310791015625,1363.3524169921875,14
230,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1378.6982421875,1409.29296875,14
231,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1409.29296875,1381.903564453125,14
232,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1381.903564453125,1432.505859375,14
233,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1432.505859375,1429.1065673828125,13
245,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1580.136962890625,1523.5125732421875,12
246,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1523.5125732421875,1546.6285400390625,13
316,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1473.6402587890625,1473.8372802734375,13
329,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1481.6181640625,1509.491455078125,13
359,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1505.4532470703125,1502.4000244140625,13
377,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1541.0999755859375,1536.5,12
409,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1606.4000244140625,1612.199951171875,12
418,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1689.800048828125,1681.199951171875,11
428,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1629.4000244140625,1656.0,12
429,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1656.0,1535.800048828125,12
430,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1535.800048828125,1520.199951171875,13
431,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1520.199951171875,1507.0999755859375,13
432,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1507.0999755859375,1497.199951171875,13
436,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1386.0,1369.0999755859375,14
437,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1369.0999755859375,1365.5999755859375,14
